Tanggal,Username,Rekomendasi,Review,Informasi Tambahan
27 Apr 2024,hasnasalmah,hasnasalmah recommends this product!,Beli serum ini karena emang lagi butuh yang niacinamide somethinc. Awalnya pake yang 5% cuman karena terakhir nyoba yang 10% ternyata malah lebih manjur. Jadi beli ini yang 40ml langsung. Alhamdulillah cocok dan progresnya lumayan keliatan jugaaâ¡,Usage Period : 1 month - 3 months Purchase Point : XBeauty by Female Daily
27 Apr 2024,tupaigoreng,tupaigoreng recommends this product!,"ini serum niacinamide aku yang paling pertama and let me tell u that itâs pretty good (not as good as the ordinary tho), tapi dia ada bau lem gtu? walaupun aku belinya di shoppe official merekaâ¦ and emang se lengket itu dikulitku ð¿ tapi dia memudarkan PIE & PIH aku dulu, nahhh tapi sayang sekali their reformulation (the two niacinamide branch) itu gak cocok di aku karna sering nimbulin jerawat kecil-kecil, tapi yg ini was p good for me, sekarang jadinya aku pake the ordinary punya which is ð¯â¨",Usage Period : 1 month - 3 months Purchase Point : Shopee
21 Apr 2024,ikamarthia,ikamarthia recommends this product!,"suka banget, yg ini berasa lebih ampuh buat mencerahkan krn niacinamidenya 10%. dan aku udah pakai seminggu, hasilnya sangat nyata. aku pakainya tiap malem doang sih, kayaknya kalau pakai pagi sama malem lebih nampol lagi. bakalan beli lagi kalau habis.",Usage Period : 1 week - 1 month Purchase Point : PR Package
18 Apr 2024,bellaksfr,bellaksfr recommends this product!,"Serum ajaib yang bisa memudarkan bekas jerawat (PIH) bandelku dalam satu minggu!!! Packagingnya simple, tutupnya bisa di lock unlock, teksturnya gel tapi wateru & nggak lengket, pas kena wajah juga nyaman bikin lembab dan nggak berasa greasy.. Bisa dipake pagi & malam, aku pakenya pagi & malam jugaa, kecuali di hari hari pake retinol serum",Usage Period : 1 week - 1 month Purchase Point : PR Package
17 Apr 2024,ririiiand_,ririiiand_ recommends this product!,"aku pake ini buat pertama kalinyaa dan menurut aku ini udah cukup buat mencerahkannnnmencerahkan ya bukan memutihkan!!!!!Diaku, pemakaian pertama kali 1 botol ini bikin jdi kulit aku ga kusam lagii (type kulit aku normal, gaada sensitif/jerawat)",Usage Period : 1 month - 3 months Purchase Point : Shopee
17 Apr 2024,asticandra,asticandra recommends this product!,"ngaruhh, dimukaku ngilangin bekas jerawat + mencerahkan jugaa walaupun prosesnya lama apalagi buat ilangin bekas jerawat yang menghitam gituu. bagus juga untuk daily cuman paling untuk nunggu bekerja banget dimuka rada lama sih harus berbulan bulan baru mulai keliatan hasilnya",Usage Period : 1 month - 3 months Purchase Point : Shopee
17 Apr 2024,rairara,rairara doesn't recommend this product! ,"Aku coba pakai serum 10% Niacinamide setiap malam selama seminggu untuk lihat efeknya. Awalnya muncul jerawat mendem bergantian, meskipun gak banyak tapi cukup mengganggu. Efek lainnya ya bikin kulit kenyal dan lembab. Gak ada yang istimewa. Untung beli pas lagi promo dan beli yang kemasan 20 ml.",Usage Period : 1 month - 3 months Purchase Point : Shopee
10 Apr 2024,VannesaDewi,VannesaDewi recommends this product!,"This is so good. As niacinamide serum dia ngebantu banget ngurangin sebum & whitehead di wajahku. 5% already do the job very well, 10% a bit too harsh on my sensitive skin though. Yang Sabi ini dicampur sama Cica water jadi dia lebih enak digunakan pas after acne atau pas lagi meradang. Especially after acne, so that the scar wound would be not too deep into our skin. Kadang suka pilih2 sama saudaranya si Barrier, tapi kalau lagi dapet & muncul acne, honestly Sabi wins my heart.",Usage Period : More than 1 year Purchase Point : Shopee
09 Apr 2024,jleversil,jleversil recommends this product!,"serum paling ngaruh buat aku, aku pakai dia waktu pertama nyoba skincare jugaï¼ dia punya sedikit calming feels kalo di aku, dulu aku nyoba yang 5% niacin terus selama 1 bulan penetralan niacin aku repurchase dan baru deh beli yang kandungan niacin nya 10%ãhasilnya bener-bener mencerahkanï¼tapi aku sudah gak pakai karena lagi nyoba serum-serum yang lain yang bakal ngelebihin dia, but for now dia paling bagusï¼",Usage Period : 3 months - 6 months Purchase Point : Shopee
08 Apr 2024,Auliaaushaf,Auliaaushaf recommends this product!,sangat amat disayangkan serum yg hype bgt buat nyerahin kulit ternyata ga ngefek sama sekali di aku... aku udh repurchase sampe 3x dan salah satunya ukuran yg 100ml... tp ternyata gaada efek apa apa buat nyerahin atau ngeratain warna kulit aku (paling cm buat ngeredain kemerahan doang?) jd ya so sad aku belom cocok sm produk ini sptnya:(,Usage Period : More than 1 year Purchase Point : Shopee
04 Apr 2024,yulidaning,yulidaning recommends this product!,"warnanya Bening ke kuningan, nyaman dipakai gak ada iritasi atau cekat cekit tuh, aku cocok banget pakai serum ini dan bikin muka glowing dan lembab cepat meresap, yg aku rasain baru glowingnya dan lembab nya yg aku dapat, muka jadi halus. untuk mencerahkan atau menghilangkan bekas jerawat di aku blm ngaruh",Usage Period : 1 week - 1 month Purchase Point : Brand website
22 Mar 2024,triluda19,triluda19 recommends this product!,"serum somethinc ini bagus sih, lembab nya dapat waktu dipakai. cuma aku berasa lembab nya cuma bentar aja. kalau untuk mencerahkan aku gak tau sih, soalnya aku cuma habisin satu botol aja, sekarang udah gak lanjut pake lagi karena aku berasa lembab aja mukanya",Usage Period : 1 month - 3 months Purchase Point : Shopee
21 Mar 2024,astrpspt,astrpspt recommends this product!,"Serum kecintaan aku bangettttð¥° gak tau deh udah habisin berapa botol karena secocok itu aku sama serum ini. awalnya aku pakai yg 5% dulu utk pemula, lalu aku naikin ke level 10% karena menurut aku kulit aku udah lumayan kebal hehehe teksturnya cair, ringan, mudah menyerap. serum ini buat kulit wajah aku jadi lebih cerah, glowing dan memperbaiki skin barrier aku juga. love pokoknya!ðð¤©",Usage Period : More than 1 year Purchase Point : Shopee
11 Mar 2024,icharusl,icharusl recommends this product!,"Sebagai bucinnya somethinc,seriusan aq tuh ga pernah kecewa sama produk-produknya. salah satunya niacinemide yg ini. udah kemasan pumpnya yg menjaga bgt kehigienisan produknya. dan produknya juga bikin kulit jafi sehat,kenyal, dan lebih cerah di aq. saat di pake pun cpt meresap.repurchase?yesss aq sih",Usage Period : 3 months - 6 months Purchase Point : Shopee
08 Mar 2024,arisakuuhaku,,Awalnya nyoba-nyoba serum yang bikin ceerahan sii. Nah ketemu lah produk serum Somethinc nii. Teksturnya yaa kentel gituu warna bening dan ga ada bau aku. Aku suka aplikasiin ini saat malam hari. Efeknya wajah aku pas bangun jadi cerahan dan glowing. Gatau mungkin efek dari sleeping mask aku soalnya aku gabung hehe. Tapi sejauh ini serum ini ga ada ngasi efek yang terlalu signifikan. Oiya di aku kalo aku stop penggunaan serum ini jadi kusam but kalo aku makek lagi yaa jadi cerahan gituuu. So recommend? Kek nyaa engga dulu dehh aku mau nyari-nyari lagii hehe,Usage Period : 3 months - 6 months Purchase Point : Shopee
04 Mar 2024,Taitacntik,Taitacntik recommends this product!,"Somethinc niacinamide 10% Pemula pakai somethinc niacinamide 5%Cerita pengalaman : Kulit wajah belangPernah waktu itu kulit wajah ku belang bgt bgtt, karena sering berjemur tpi gk reply ss, udh galau bgt bingung pkai apa biar kulit balik cerah lgi, sgkt crta aku nekat co somethinc Niacin yg 10 prsen dan aku cobain selama 2 minggu alhasil kulitku makin cerah belangnya pudar, aku pkai malam dan pagi sebelum pakai sunscreen biar cepat hasilnyaa... Jangan lupa pakai sunscreen karena skincare mu bakal siaÂ² klo kmu skip pakai dan reply sunscreen ( 2-3 jam ) â¤ï¸â¤ï¸â¤ï¸â¤ï¸",Usage Period : More than 1 year Purchase Point : Shopee
02 Mar 2024,shelyyyn,shelyyyn recommends this product!,"Nyoba serum ini waktu baru launching dan awal-awal niacinamide booming. Teksturnya cair gampang menyerap dan wanginya calming. Pertama kali coba beneran bikin wajah cerah, ngilangin bekas jerawat, pokoknya kondisi wajah aku lebih bagus. Tapi entah kenapa setelah botol kedua dan ketiga ga ada perubahan di muka aku, mungkin harus pake konsentrasi niacinamide yg lebih tinggi. Tapi kalo untuk pemula ini bagussðð»",Usage Period : 3 months - 6 months Purchase Point : Shopee
29 Feb 2024,anita_syahri,anita_syahri recommends this product!,"gatau bedanya dimana sama niacinamide + beet, keduanya di aku cocok-cocok aja, gaada bikin jadi jerawat atau apapun itu, efeknya sama aja kaya serum somethinc yg niacinamide + beet bikin mencerahkan dan melembapkan.",Usage Period : 6 months - 1 year Purchase Point : Shopee
24 Feb 2024,zahraazrr,zahraazrr recommends this product!,"Serum yang udah aku repurchase berkali-kali!Teksturnya kental tapi pas udah diaplikasikan ke wajah ringan banget, gak bikin wajah jadi oily juga. Dan efeknya itu bener2 bikin wajah aku mulus, gaada bruntusan lagi, dan lembab juga. Ini serum yang memperbaiki kesehatan kulit wajah aku sih, makanya sampai sekarang belum berpindah kelain hati, selalu kembali ke serum ini buat penyelamat kalau lagi kenapa2Efek mencerahkannya ada banget pas pake awal2",Usage Period : More than 1 year Purchase Point : tiktok
22 Feb 2024,xiejingxing,xiejingxing recommends this product!,"Serum brightening yang bagus untuk kulit yang cenderung normal to dry. Teksturnya itu kental. Makanya, aku biasanya pakai ini di malam hari. Kalau dipakai di siang hari, ini agak terlalu thick. Sebelum dipakai, harus dikocok dulu. Soalnya kalau engga, pas dipump, yang keluar cuma kandungan minyaknya aja, padahal serum ini warnanya putih. Overall, ini bagus untuk mencerahkan, tapi karena aku pribadi jarang pakainya, ini lama banget habisnya",Usage Period : 3 months - 6 months Purchase Point : Shopee
17 Feb 2024,KUR0MIHYUN,KUR0MIHYUN recommends this product!,"A good basic serum. Saat awal pemakaian sih efek mencerahkannya lumayan nendang. Tapi mungkin karena saking seringnya pakai serum ini jadi kurang nendang buat aku. Nonetheless, this is still a good serum buat skin barrier. Kalau habis pake exfoliants/actives biasanya pakai ini biar gak iritasi.",Usage Period : 6 months - 1 year Purchase Point : Berlian Indah
13 Feb 2024,nikeishajill,nikeishajill recommends this product!,"Ini salah satu varian serum dari Somethinc yang aku pakai dari dulu. For me, serum ini cukup membantu untuk mencerahkan dan mengurangi darkspots bekas jerawat. Serum ini juga cocok untuk oily skin + sensitive. Tapi, mungkin for the final result itu harus digunakan secara rutin ya untuk kelihatan dengan baik keseluruhan.",Usage Period : More than 1 year Purchase Point : AEON
11 Feb 2024,bellamaswati,bellamaswati recommends this product!,"ini salah satu serum niacinamide yg aku suka sih dari segi tekstur hasil ku di kulit, kalo buat mencerahkan aku malah lebih suka yg 5% padahal 10% lebih tinggi ya tapi yg ngaruh di aku yg 5% kalo yg ini dia bisa mengontrol minyak di kulit kombinasi ku",Usage Period : 1 month - 3 months Purchase Point : Shopee
04 Feb 2024,Chipmunk0712,Chipmunk0712 recommends this product!,aku suka somethinc apapun tentang somethinc. aku pengguna serum somethinc lama dari 2018. awal serum yang kupakai ya serum ini. ya ga nyerahin sih. stdaknya dia melembabkan atau netral in kulitku setelah penggunaan aha bha. jadi work aja,Usage Period : More than 1 year Purchase Point : Shopee
04 Feb 2024,ani12,ani12 recommends this product!,"sebelum pakai ini, dulu warna kulit saya agak gelapan. Lalu dapat rekomendasi dari temen, rekom cobain serum somethinc varian yg niacinemide. Karena aku baru nyoba pakai ini, jadi temenku nyaranin pakai yg 5% dulu. Setelah pakai ini, warna kulitku agak cerahan.",Usage Period : Less than 1 week Purchase Point : Shopee
04 Feb 2024,Na_vivi,Na_vivi recommends this product!,"Ngga perlu diraguin lagi kalo produk something mahhhhâ¦ Sebagus itu produknyaâ¦ Pakai rutin 2 minggu pagi sama malam, bikin kulit cerahan. Bagus bangetttâ¦ Skintype aku oily yaaaâ¦ cepet meresap, bikin makeip nempel. Nampol pokoknya ini serum...",Usage Period : 1 month - 3 months Purchase Point : Shopee
04 Feb 2024,zahrotunnisa24,zahrotunnisa24 recommends this product!,Produk ini kenapa bagus bangeeet... pake malemnya paginya langsung cerahan kayak pake merkuri ððð. kayak masalah kulitku bruntusan kusem apalah apalah langsung keliatan hasilnya heran bangeeet. â¤ï¸â¤ï¸â¤ï¸gag tau lagi udh berapa kali repurchase ini ð«°ð»ð«°ð»ð«°ð»,Usage Period : 3 months - 6 months Purchase Point : Shopee
04 Feb 2024,ipiii9,ipiii9 recommends this product!,"bener"" membantu mencerahkan wajah, teksturnya juga ringan dan cepet meresap ke kulit, aku udah selama setahun, masih gamau berpaling, kandungan niacinamidenya cocok banget di kulit aku yang kombinasi-kering ini. ga bikin iritasi sama sekali",Usage Period : More than 1 year Purchase Point : Shopee
04 Feb 2024,fresmana,fresmana recommends this product!,"pelan tapi pasti ternyata serum ini sangat ngebantu kulitku berprogress setiap harinya. awalnya aku kaya mana sih hasilnya kok kayanya b aja, tapi mau di stop sayang belum abis juga. akhirnya setelah 3 bulanan pake aku ngerasa kulitku menjadi semakin kuat barriernya, ngga gampang sensitif jerawatan ato rewel apa gitu. bahkan ketika aku malas skincarean beberapa hari kulitku tetep aman aja tanpa ada drama. di kulitku dia juga ngebantu ngeratasin warna kulit, memudarkan noda bekas jerawat juga. wajib nyetok sih ini ð«¶ð»",Usage Period : 3 months - 6 months Purchase Point : Shopee
03 Feb 2024,dinifd15,dinifd15 recommends this product!,serum pertama aku yg kulitny kering dan kusam.. kesan pertama yang pasti kulit jadi keliatan lebih cerah meskipun ngga signifikan.. tapi untuk keringnya aku rasa kebantu smaa toner dan moisturizer yg aku pake sih.. overall tetep jempol yg akhirnya aku udah coba hampir semua serum somethinc! cintak!,Usage Period : 1 month - 3 months Purchase Point : Sephora
03 Feb 2024,shafadharma,shafadharma recommends this product!,"Definisi jagoan buat mencerahkan kulit! Yang punya masalah kulit kusam wajib cobain. Niacinamide-nya bener-bener jadi game-changer buat kulit kusamku. Teksturnya gak lengket dan gampang menyerap. No breakouts, no irritation. Jadi cocok banget buat kulit sensitif. Serum ini emang beneran bikin kulit lebih sehat dan cerah!! #SkincareFave #GlowingSkin",Usage Period : More than 1 year Purchase Point : Shopee
03 Feb 2024,liacdan,liacdan recommends this product!,enak banget pake ini ringan di muka dan cocok buat pemula yang baru nyoba kandungan niacinamide untuk menghilangkan bekas jerawat dan dark spot dengan kandungannya yang ringan sangat mudah menyerap di kulit dan bisa dipakai sehari hari juga,Usage Period : 1 month - 3 months Purchase Point : Shopee
03 Feb 2024,Azizahha22,Azizahha22 recommends this product!,"serum ini sangat cocok di kulitku dan membantu mencerahkan juga melembabkan, teksturnya juga gel jadi mudah menyerap dengan baik, setelah beberapa bulan pemakaian sudah sangat terlihat hasilnya kini kulitku semakin cerah dan lembab tentunya",Usage Period : 3 months - 6 months Purchase Point : FD Flash Sale
03 Feb 2024,lala_dhils,lala_dhils recommends this product!,"may favorit serum niacinamide dari somethinc hasilnya bener bener keliatan tapi emang agak lama tapi menurutku ini wort it bangettttt dan cepet banget meresap dikulit, yang aky suka dari somethinc ini serumnya busa di layer sama beberapa serum lainnya",Usage Period : 1 month - 3 months Purchase Point : Shopee
03 Feb 2024,Suci_RS,Suci_RS doesn't recommend this product! ,"awal awal pake ini kayak cocok aja gitu. tekstur enak dll. tapi lama kelamaan aku notice ko tiap pake ini pasti muncul jerawat baru. pdhl ga dilayer sama serum apa2. setelah berhenti, ga muncul jerawat yang baru. jadi aku berkesimpulan, kayaknya aku emg ga cocok sm niacinamide yg tinggi2 kyk gni deh :(",Usage Period : 1 month - 3 months Purchase Point : Shopee
02 Feb 2024,Novylailatuz,Novylailatuz recommends this product!,Serum nia inamide yang paling nampol di kulitku. Menyamarkan noda bekas jerawat dan mencerahkan banget. Walaupun butuh waktu yang lumayan tapi it really works. Teksturnya sedikit seperti gel tapi mudah menyerap. Mengunci kelembapan juga. Udah make ini dari lama banget. Will surely repurchase.,Usage Period : More than 1 year Purchase Point : Brand website
02 Feb 2024,kylaaaaaooo,kylaaaaaooo recommends this product!,produk somethinc pertamaku bener bener belum ngerti skincare ini lah yang aku coba pertmaa kali karena waktu itu tekstur muka ku bener bener bermasalah akhirnya nyobalah baguss bgt bgt bener bener dibuat jatuh cinta sama si niacinamide yg satu ini,Usage Period : Less than 1 week Purchase Point : FD Flash Sale
02 Feb 2024,Afifahriqza,Afifahriqza recommends this product!,"serum pencerah yang beneran ampuh bangett. aku biasanya combine sama retinol nya dan works banget di aku. kulit jadi lebih cerah, kenyal, bekas jerawat jadi berkurang, di kulit aku yang normal to oily ini masih aman banget, ga bikin kering juga",Usage Period : Less than 1 week Purchase Point : Shopee
02 Feb 2024,Febyarp,Febyarp recommends this product!,Teksturnya ringan dan cepet menyerap. Cocok bgt dipake sendiri atau makin bagus kalo di layer sama retinol sih aku biasanya. Masih gentle dipake di sensitive skin kayak aku. Harganya cukup affordable menurutku. Kalo pemula coba yang 5% dulu baru yang 10% ya,Usage Period : More than 1 year Purchase Point : Shopee
01 Feb 2024,Rizka2929,Rizka2929 recommends this product!,"Salah satu serum kecintaan dari teksturnya, karena teksturnya yg thick tapi mudah di blend, di aku lumayan lama meresapnya, tapi bikin kulit moist dan cerahan, karena teksturnya thick jadi awet banget ga habis habis, harganya standart tapi kurang suka sama aromanya",Usage Period : 1 month - 3 months Purchase Point : Shopee
01 Feb 2024,Repai,Repai recommends this product!,Pertama kalinya nyoba pake serum dan pilih pake produk serum dari somethinc ini. Seneng banget karena produknya cocok di kulitku dan bikin kulitku lebih cerah daripada sebelumnya karena ada kandungan niacinamidenya. Thankyou Somethinc!,Usage Period : 6 months - 1 year Purchase Point : Shopee
01 Feb 2024,sherinbp,sherinbp recommends this product!,aku cocok banget make niacin tuh langsung kulit cerah glowing nah kebetulan aku cocok banget make ini serum sih. bagusss bgt buat mencerahkan kulit ini dan ngontrol minyak juga. honestly ini bagus pas awal pemakaian aja lama kelamaan mulai b aja kayak kadang bikin cerah kadang ngga mungkin karna kulitku udah mulai kebal sama niacin 5% aja tapi emang worth it bgt sih ini dengan harga 80k lebih oke lagi kalau dapat diskon. yang bagus yang ada kandungan sabi white nya menurutku kalau yg satunya skin barrier menurutku b aja gak mencerahkan bgt. udah make 3 botol repurchase? yess,Usage Period : More than 1 year Purchase Point : Shopee
01 Feb 2024,sabrinaacn,sabrinaacn recommends this product!,"Produk somethinc yang satu ini aslinya mantep banget.Tapi gak tau kenapa sometimes waktu pakai, muka jadi tambah break-out,banyak jerawat yang mendem gitu.Waktu diaplikasiin tekstur serumnya tuh agak cair dan bikin muka langsung glowing gitu.",Usage Period : 3 months - 6 months Purchase Point : Shopee
31 Jan 2024,neraz_ksari,neraz_ksari recommends this product!,pertama kali pake niacinamide karna direkomendasiin sama sepupuku. kucobain pake somethinc sabi beet 5% ternyata alhamdulillah cocok. kulitku jd lembab dan gak ada efek bikin jerawat atau apa pun. setelah habis aku coba naikin beli niacinamide somethinc skin barrier 10% malah gak cocok di kulitku. akhirnya balik lagi deh ke varian 5% sabi beet,Usage Period : More than 1 year Purchase Point : Shopee
31 Jan 2024,defiinuff,defiinuff doesn't recommend this product! ,Nggak tahu kenapa aku pakai serum yang Niacinamide ini kurang cocok dan bikin bruntusan di wajah aku... Mending pakai serum yang aha dari somethinc itu bagus banget... Kalian yang punya oily skin dan acne prone kayak aku nggak rekomen sih...,Usage Period : 1 week - 1 month Purchase Point : Shopee
31 Jan 2024,rulitatriw,rulitatriw recommends this product!,"bagus banget bisa ilangin bekas jerawat tp harus rutin pemakaiannya. teksturnya ga terlalu thick, tapi cepet ngeresapnya di muka. kurang suka pake serum ini kalo sebelum makeup, jadi kayak ga ngeblend gitu makeupnyað, untuk bekas jerawat harus telaten",Usage Period : 3 months - 6 months Purchase Point : Shopee
30 Jan 2024,AnneAndriani,AnneAndriani recommends this product!,"ini botol ke dua ku dan emang bener2 bikin cerah ke muka worth it to buy pokok nya krn di muka ku se ngefek itu bikin kulit muka ku warna na jd rata , better di mix pake somethinc diamond wahh gilaa sih hasilnya bikin glowing beneran , pake nya pagi ama malem",Usage Period : 6 months - 1 year Purchase Point : Shopee
29 Jan 2024,ranirohmawati,ranirohmawati recommends this product!,"Aku suka serum-serum nya somethinc, termasuk niacinimade ini. Teksturnya sedikit kental, berwarna bening, mudah di aplikasikan dan mudah menyerap. Hasilnya, secara konsisten serum ini bikin kulit aku lebih cerah dan lembab. Cocok juga untuk all skin type.",Usage Period : More than 1 year Purchase Point : Shopee
29 Jan 2024,Clara_Helena,Clara_Helena doesn't recommend this product! ,"Lihat review banyak yg cocok, akhirnya aku berani coba karena lihat claim yg bisa untuk all skin type. Sayang banget gak cocok sama sekali, bikin tumbuh bruntusan baru. Padahal kulitku ini muncul jerawat hanya pas pms aja. Kukira purging, tapi setelah 3 minggu juga gak mereda. Ketika stop pake di wajah dan coba dikit di leher, muncul kemerahan dan gatal. Pasahal suka sama kombinasi ingredients seperti centela, sabi white dan lainnya.",Usage Period : 1 month - 3 months Purchase Point : Shopee
26 Jan 2024,Auliaram,Auliaram recommends this product!,"serum ini tuh ringan kalau dipakai, terus kayak nggak kerasa kalau pakai serum karena terlalu ringannya, tidak ada bangunan yang lain dan cepat meresap di kulit. teksturnya kental, terus kayak paginya tuh gak bikin muka aku kusam. untuk harganya lumayan lah ya",Usage Period : 1 week - 1 month Purchase Point : Gift
24 Jan 2024,firyalane,firyalane recommends this product!,salah satu serum yang aman aja di kulit tapi ga terlalu ada efek yg bisa keliatan progressnya karena to be honest hanya ngebantu kulitku cerah sedikit dan lembab. gaada efek negatif juga sih jadi aku jadiin sebagai skincare transisi dari krim dokter. aku rekomen buat dicoba tapi kalo mau hasil instant gaada jaminan. ini cocok buat penggunaan skincare rutin,Usage Period : 1 week - 1 month Purchase Point : Lazada
22 Jan 2024,TheP,TheP recommends this product!,"Biasa pakai niacinamide yg barrier serum dari somethinc, ini coba yg series beet serum. Alhamdulillah cocok juga, wajah ku yang sempat kusam mulai kelihatan mencerah lagi. udah seminggu pakai dan tidak menunjukkan efek jelek. Harga juga affordable, sering sales juga ini serum",Usage Period : Less than 1 week Purchase Point : Shopee
20 Jan 2024,richsantikayunikke,richsantikayunikke recommends this product!,Jujur kalo mau kerasa pake ini jangan cuma sebotol kalo di aku walopun ga bikin cerah cerah amat tapiii beneran bisa meratakan warna kulit dan menghempas noda jerawat kulit juga lebih plump kenyel gituu ga ada geradakan beneran ngebantu sihh,Usage Period : 3 months - 6 months Purchase Point : Sample
14 Jan 2024,eyeloner,eyeloner recommends this product!,"Entah kenapa aku merasa Niacinamide Somethinc di mukaku lebih cocok versi 5% daripada 10%. Yang 10% menurutku lebih berat dan feelnya sticky di muka. Wajib banget dipakai secara rutin kalau mau lihat khasiatnya. Aku biasa pakai setelah serum waterbased, lanjut Somethinc Niacinamide 5%, oils, baru moisturizer. Hasilnya mukaku lebih cerah setelah dua bulanan pemakaian. Cerahnya masih dalam taraf so-so, gak yang life-changing banget, sih, haha. Overall it's a good product!",Usage Period : 1 month - 3 months Purchase Point : Shopee
13 Jan 2024,noalin24,noalin24 recommends this product!,"Beli dari pertama kali launching, ngewar sama banyak orang karena produknya sering sold out. Menurutku produk ini oke apalagi kalau digabungin sama serum atau toner retinol. Tapi downsidenya, produk ini cepet banget oksidasinya (jadi warna kuning)",Usage Period : More than 1 year Purchase Point : Shopee
11 Jan 2024,risvia_,risvia_ recommends this product!,"pake serum ini dari tahun 2021 krn cocokk bgtt, meratakan warna kulitt dan menghilangkan bekas dermatitis diwajah akuu yg warna nya hitam (6 bulan pemakaian trsndri) tahun ini mau coba produk lain krna udh bosen juga dan sudah sgt cukup membantu!!ð­",Usage Period : More than 1 year Purchase Point : Shopee
10 Jan 2024,sarahjd,sarahjd recommends this product!,"Sudah pakai ini satu tahun tapi belum ada efek yang ditampilkan sih jadi kayak yaudah pake serum biasa aja gitu, untungnya tidak ada efek samping yang muncul. Untuk harga juga cukup mahal jadi mungkin jangan berharap banyak",Usage Period : More than 1 year Purchase Point : Shopee
05 Jan 2024,Chicha8,Chicha8 recommends this product!,"wajar sih se viral itu... emang produk nya best bgt somethinc nih.. dipakenya enak dingin dimuka cepet nyerap ke kulit.ngelembapin dan gak nimbulin efek2 negatif ke aku pdhl kulitku trmsk sensitif.utk hrg segitu sih sbnrny lmyan pas dg size ny karna ckp lama kok dipake. tp aku dah nemuin pelembap yg mirip sm ini..jd buat ibu RT kayak aku,kayaknya lbh milih hrga yg lbh terjangkau lg deh buat lbh hemat... cm kalo pas mmg lg pengen beli y beli aja ntar",Usage Period : 1 month - 3 months Purchase Point : Shopee
03 Jan 2024,fitriyanti16,fitriyanti16 recommends this product!,"Serum somethinc yang niacinamide ini bagus paket bikin cerah dan lembab di aku, suka banget aku udh beberapa kali beli lagi karna emng bagus, tektur nya itu kentel tapi gak lengket gampang nyerap juga klo di tanya minus nya gak ada di aku juara pokoknya",Usage Period : More than 1 year Purchase Point : Shopee
02 Jan 2024,eliiinnn,eliiinnn recommends this product!,"gatau lagi udah abis berapa botol untuk niacinamide dari somethinc ini. teksturnya thick dan di pake dikit udh cukup semuka efeknya melembabkan dan bikin muka calm, jerawat yg gede dan sakit aku saranin rutinin pake ini krna sabi beet nya ngaruh bgt buat calming si jerawat ini. mencerahkan jg oke bgt, cuma di aku cepet bgt oksidasi nya. tpi gapapa itu hal normal dan msih aman di pake",Usage Period : More than 1 year Purchase Point : Shopee
30 Dec 2023,carissalovingmatcha,carissalovingmatcha recommends this product!,"serum niacinemide somethinc ini bagus banget, bikin wajah lumayan cerahan pake ini, aku pake yang 5% udah mendingan pih aku, untuk pie lumayan lebih lama ya ternyata daripada yang pih tapi udah ga merah bgt gitu loh kayak nya butuh kesabaran & proses. minus nya ini serum finish nya lengket tapi gapapa sudah bisa ngontrol sebum di wajah ku juga. kayak nya repurchase yang 10% deh biar lebih cepet pemudaran bekas nya",Usage Period : 1 week - 1 month Purchase Point : Shopee
18 Dec 2023,awrley,awrley recommends this product!,"produk ini mencerahkan, melembabkan dan bikin plumpy. aku udah abis 2 botol gede. suatu saat aku pake ini dipagi hari lgsg muncul Pityriasis Alba. aku pikir krn aku panas panasan atau krn produk lain. tp ketika aku stop pake ini kulit aku jd gapapa. btw skintype aku combi yah",Usage Period : More than 1 year Purchase Point : Shopee
17 Dec 2023,ghaniezan,ghaniezan recommends this product!,"Serumnya bagus banget buat cerahin wajah, nampol juga buat samarin bekas bekas jerawat... enak juga teksturnya ringan, cuma pake 2 minggu keliatan banget hasilnya... worth it banget buat kalian coba! tapi advance user only ya guys!!!!!",Usage Period : 3 months - 6 months Purchase Point : Beautyhaulindo
17 Dec 2023,yana15,yana15 recommends this product!,"serum nya recomended untuk mencerahkan wajah, ingredients nya niacinamide nya bagus dan bisa di gunakan pagi dan malam untuk semua jenis kulit wajah serta bisa di layer dengan serum lain namun harus memperhatikan ingredients nya ya teman",Usage Period : Less than 1 week Purchase Point : Shopee
17 Dec 2023,nadiazooq,nadiazooq recommends this product!,"somethinc mampu mengatasi masalah kulit kering, selalu beli somethinc kalo produk nya sudah abis, ngga pernah ke produk lain. Selain ngatasin kulit kering juga bisa mencerahkan wajah, mulusin wajah juga, pokonya somethinc the best deh",Usage Period : 1 month - 3 months Purchase Point : Shopee
17 Dec 2023,ayu_utami,ayu_utami recommends this product!,"Serum niacinamaid + moisture sabi beet serum ampuh menyamarkan bekas jerawat, memperbaiki skin barrier yang rusak, teruss menyamarkan noda hitam dan inii juga melembabkan banget, pokoknya works deh sudah repurchase berkali2 ni cinta",Usage Period : More than 1 year Purchase Point : Shopee
17 Dec 2023,CahyaKamilaa,CahyaKamilaa recommends this product!,"Cocok untuk yg kulit normal dan sangat bagus, melembabkan kulit, mencerahkandi wajah, memperbaiki kulit yang belang, harga murahhh kalau lagi promo, meningkatkan tekstur kulit dan penampilan kulit, packaging nya bagus awet isinya sangat banyak",Usage Period : 1 month - 3 months Purchase Point : Lazada
